Container_ID,Tenant_ID,Requested_CPU,Requested_Memory_MB,Requested_Storage_GB,Requested_Bandwidth_Mbps,Execution_Start_Time_ms,Execution_Finish_Time_ms,Makespan_ms,Server_ID,Available_CPU,Available_Memory_GB,Available_Storage_TB,Available_Bandwidth_Mbps,Power_Consumption_Watts,Inter_Container_Communication_Latency_ms,Routing_Path_Efficiency,Bandwidth_Allocation_Mbps,Active_Switches,Energy_Efficiency_Score,Execution_Cost_$,Resource_Utilization_Efficiency,SLA_Violation_Rate,Power_Consumption_Switches_Watts,Total_Data_Transferred_MB,Optimal
238,9,11,12302,96,694,3912,13176,3944,17,42,131,7,1561,327.030978507407,8.079563395570384,0.5065012010369253,425,9,0.1003310532120687,88.85432734389519,77.17701188652855,12.087229499224094,111.75196878146701,1476,0
239,4,11,12867,227,299,5744,48770,1819,27,15,39,7,4392,55.740415868343746,6.960420758359307,0.08581077170943885,314,8,0.14828253789591594,85.14375504582173,73.68153777423048,6.055471847133848,69.37923155161823,2915,0
240,1,1,13332,430,54,2873,44654,3900,47,5,326,8,2368,362.85334508648106,0.14975248331658816,0.9695265233240068,205,5,0.7020356684821422,43.39335817481381,97.73086857520269,4.007206080069006,52.824839920197654,1362,0
241,4,13,396,481,582,4258,37627,4548,2,59,40,6,1094,238.09964761415821,4.3354522207186745,0.03868495825719154,885,7,0.7257588754532756,75.89152108020942,57.79301837935385,10.851404068161356,106.10402986874585,9419,0
242,1,1,13013,314,92,3817,35881,3757,36,49,406,8,6654,304.5008674518741,2.05511418835512,0.753503901107308,822,3,0.674236561628199,9.848159040669318,59.46188012726241,8.80437945942004,125.15697470574197,3025,0
243,14,10,5138,412,132,9636,46422,2956,19,25,142,3,107,342.08627090849797,9.11689931938379,0.525102398142244,809,1,0.3360783877422381,4.120452584863144,90.40073745313917,7.8022642686786625,11.856723969701438,9344,0
244,16,9,14369,380,367,4641,22984,3368,17,26,249,1,2615,207.60647644718455,1.8283814482959668,0.3686206524982887,397,1,0.16977693975812214,75.3483177894452,63.04155400125044,13.45134390189246,158.2392487182263,3568,0
245,8,7,13901,354,537,5458,34776,1178,5,33,224,6,1517,462.6943273273074,2.9319945114269266,0.06584216450865465,766,2,0.5807610919522531,42.592991905435504,89.96135531457634,13.810132640222719,165.77760493929506,4121,0
246,7,1,6268,350,75,6307,28755,1896,39,8,108,1,2416,110.28869003740155,5.216684000571542,0.6221669241736077,970,8,0.4836804457578665,99.55537154748296,63.57667414542513,0.9184011218252608,193.44705666790728,4509,0
247,3,15,1219,393,945,9933,18135,3266,18,12,109,9,7458,352.18031327646685,2.7072998280809846,0.5852203293909553,874,1,0.7288341471223034,9.815696163967687,51.659381511250075,6.774889884873443,44.32230931269204,647,0
248,17,12,7407,405,666,3041,11320,3836,7,24,342,2,4032,51.961810980461195,2.1776603050633,0.28088327306759975,464,5,0.44136007868562144,85.57720538536985,75.8507361943358,8.235291004527546,122.96498684858012,4991,0
249,1,14,8820,454,384,1679,48422,2972,17,14,240,2,6304,466.09299743233134,6.031083318517249,0.9102217014103121,722,9,0.3386396946864684,48.050308246346276,59.83432170634307,1.937843223283362,91.05882096051495,3623,0
250,16,8,12083,434,171,6738,39635,2551,39,8,470,7,1387,100.62685995714116,0.9804022752747362,0.3041100073428369,714,9,0.2934785773590144,82.73230453083731,87.89231464662356,4.718017333965767,73.61729179551662,7142,1
251,12,3,10989,170,755,6668,32684,1491,36,38,393,2,1218,92.69790356640858,0.6758608113371547,0.44972541059210613,857,2,0.21147032004974653,81.73101548879747,82.05998166160741,1.0328359444551327,117.47035577312589,9821,1
252,19,8,3866,187,389,8697,34238,4962,40,30,295,8,8844,199.8534348735099,3.785228422342107,0.5437624559186557,667,7,0.2657463761866614,91.60760093607153,96.18013339889589,19.924841972340413,158.65278771247455,5705,0
253,14,15,10140,126,665,9033,32889,1060,45,52,26,6,7737,218.10482871758626,7.234578099627837,0.1002318781762861,319,1,0.09483043884410136,29.855216127481672,89.1494178632868,14.73114405939689,14.380028854589922,206,0
254,6,5,7150,205,367,1062,41313,2077,4,5,344,7,760,146.43503254529537,5.592586906912085,0.9321617192136323,136,3,0.34685701092888954,94.9849554108541,59.038797742036344,1.7490031300550735,194.1860213875755,9148,0
255,6,1,13723,392,197,8829,43535,2703,38,27,27,7,9007,313.3047474172061,4.28647703782111,0.3745361524510411,184,6,0.0365698123629582,15.251529339726266,90.00791183323982,0.4049875958018423,163.87750128408504,3084,0
256,13,7,14882,499,331,8352,21770,3585,25,34,50,6,7022,249.3113441188836,5.700940485823366,0.08077921387434361,143,9,0.1864138471663268,8.288680881589704,82.08685224070116,14.385756003045604,152.7192036926599,5568,0
257,19,5,14215,336,459,7915,31426,3895,5,36,462,9,8204,65.37901506848934,3.717969698067409,0.38729117367532995,75,2,0.7467704446194291,43.21839018549768,83.44758208803125,8.783843313653339,154.47360261429566,5952,0
258,8,6,7567,95,483,9326,18498,4035,30,42,467,9,6437,193.8434280148853,9.367848720777918,0.6002025470925807,402,7,0.32546898867662266,82.84946456732008,91.61314429850744,15.735934181291519,83.921534827544,1350,0
259,2,6,361,298,22,4644,27395,1064,12,33,243,7,2629,414.69481110792674,0.6435584200166659,0.5136526718213296,973,4,0.6682370169773438,47.39477095028122,78.69120345944701,18.469520756367675,152.8079046605146,6839,0
260,1,8,5795,90,193,5970,13537,4683,4,49,235,9,4070,360.36569068784087,6.7665756423953685,0.694541974037274,374,2,0.7168841755972774,82.94573908529836,73.30017571765065,11.98600778032745,83.48633963456194,6232,0
261,15,9,15261,161,120,9003,30226,1585,24,40,456,3,3507,376.1918841109462,8.92369838179473,0.05548394206791063,288,3,0.5811853427321135,72.99571189885108,81.8320517679364,3.742168458345061,180.7542976192107,1711,0
262,1,2,10129,70,936,4278,26216,2727,29,54,156,3,9750,364.1526158375856,8.05845861647901,0.2845406102720561,767,6,0.9586977413653984,21.021895775279464,64.89787144791795,15.643880720929051,43.67225282822923,8028,0
263,5,9,12545,70,517,8296,29613,3218,9,31,38,1,9146,189.93785962236498,1.9220062447323227,0.8192305768401023,372,9,0.021439866623113257,94.89327432745644,59.129856554354966,19.116234863487488,65.54601060087879,1890,0
264,16,12,12464,363,299,4074,14009,4344,4,63,98,5,7516,94.84876493454914,3.0296708549048548,0.07989368779136086,758,8,0.7386526505881421,6.172038746077401,80.82939190356232,11.604625741199118,114.75413311282446,7317,0
265,19,15,11084,37,304,9312,35368,4960,24,34,505,4,4860,172.6102328148932,7.198774593200336,0.8554859546959576,180,9,0.958786643940408,89.83814278362512,61.692418454273884,13.63994894561467,70.65009681858177,967,0
266,4,11,7043,451,460,8552,40327,4770,14,14,244,2,1997,424.3033850833217,0.9342785358895788,0.09189609207710625,60,4,0.8622717293529393,30.513900554138367,53.99575546733033,6.7494939007334604,90.60507660610195,2869,0
267,3,10,2393,52,913,2637,25209,1534,5,26,438,9,6464,491.211859002382,8.137430828342582,0.8344542148916962,337,4,0.16789269180501332,50.06479350812349,50.0277092292627,7.6305538932062245,103.56031098573298,427,0
268,17,9,11864,178,224,6103,26029,4462,18,60,359,3,8564,272.2311566337026,7.217178751587424,0.3607884010787267,880,9,0.3268203062517321,42.29295208280338,80.41597007000335,14.693089957061279,172.70713627456664,3916,0
269,17,13,4701,432,983,1644,13077,3740,42,5,95,8,4187,54.365159715368996,7.323105827429892,0.6122090632572158,674,8,0.1724518398764654,17.266272235999928,68.10743917401184,18.555421968136383,109.40652818565164,3248,0
270,12,10,3786,95,641,3032,24907,4398,19,43,368,6,9564,113.02016546040306,1.092389565649155,0.15288711564799817,601,2,0.6013083638147041,35.87887195352915,87.61554853367281,12.579767744487045,78.86737123676649,6876,0
271,14,15,1542,186,903,3761,47635,3155,12,44,411,5,4474,194.9362588923196,7.205829393680685,0.06616872172518085,940,8,0.7121879819794923,19.37415018565025,68.75881991565512,15.796958169706949,57.069871166672,2655,0
272,6,10,15966,26,576,3068,15873,2870,18,30,305,1,7707,310.3634068668274,6.830199439677703,0.21593820402013508,154,1,0.3170737693630582,20.468258898506335,74.30017241191133,3.4327003483074603,87.64843597051747,9422,0
273,3,7,11627,107,36,1241,19635,4233,17,38,470,4,4119,83.79214061239128,8.32613265913632,0.12785381790869554,283,9,0.5395065739842955,18.786977919035397,70.35424864076924,4.239181805159471,107.98985983873028,4436,0
274,9,1,16201,463,639,3668,44065,3861,30,5,346,3,915,474.51078441944674,0.5117999669390481,0.3124058976796318,164,9,0.690920570071195,48.95283629662477,82.5287395554673,10.640693736667801,151.7618228686149,2582,0
275,5,7,13606,207,742,1802,44783,2004,24,42,174,1,7355,214.28765297798031,0.32879561783114275,0.5143832465110202,920,8,0.42133981661104836,79.81334361438043,67.8069581007484,3.5310838448568105,32.99926747274435,3199,0
276,17,10,7308,107,240,6059,45152,3499,11,40,492,5,1022,460.6628980661704,3.7927702887977515,0.5887594635650095,517,5,0.8540155304554593,56.940106372747984,98.18838249711544,12.699901404418473,52.10574576543867,9848,0
277,14,5,14750,74,574,1195,40092,2229,35,24,143,6,4967,401.2348112406598,1.5730040101066136,0.7898681073797429,858,5,0.7715499352878171,89.33133819622911,96.80734932992651,5.833063707893979,82.1342630150479,5886,0
278,3,6,3910,339,816,3187,28653,3637,23,61,205,2,1364,389.9467726320115,5.628006327945196,0.6562398932483586,372,3,0.06466554385057066,63.69079440881475,92.40139513286407,15.83065237333784,78.47569697270778,6832,0
279,1,10,7358,350,330,3330,43463,2039,17,8,412,3,3824,323.0238109020044,9.181754124916814,0.608758325129553,334,5,0.621125299090829,68.96507755169718,96.01501352863741,16.162206932286868,84.43213664499024,8085,0
280,1,7,2615,14,922,5841,45028,1326,1,55,46,6,2822,332.05271767333005,3.975649330306756,0.41178202748577464,857,4,0.2353255509597496,66.79396224972761,72.45698442296955,9.275749115107061,160.76904028166166,6154,0
281,3,14,15856,11,242,4606,31947,1607,15,48,401,4,5455,337.1014558473117,8.465008734998781,0.4738084349601387,664,1,0.5575182646672753,45.000973399055745,76.8215198394746,3.6162127007527056,71.58933656281289,668,0
282,18,15,8361,31,679,9468,40978,3706,32,24,374,9,2650,332.92462416151193,0.1023846577268781,0.4145208293901811,307,9,0.9568884426329662,68.96494833778827,87.10462962791223,12.93549922163865,105.36065427650628,1754,0
283,10,5,8892,121,446,1060,33056,1001,9,32,30,5,5419,299.17770412926257,1.7682949702459239,0.8421660300613831,503,4,0.8790620045522501,7.0638038722492205,84.80729624692705,19.85574036527173,128.54233624300034,7232,0
284,3,7,6697,66,790,4927,40007,2033,15,23,328,4,6786,493.8863083173,0.40119304257544763,0.23000045254839985,555,3,0.4045164031151317,85.99916204437474,94.53392978027354,12.451817958850466,54.11392453488497,3833,0
285,8,9,5303,75,542,7296,16543,3481,28,41,90,2,1773,379.53075534156324,3.3486570870991796,0.0057209315419646245,313,6,0.2915138583443534,77.80343313004734,85.81655136283476,0.715493814280157,146.55212355803238,3329,0
286,14,3,8483,339,412,3591,32067,1124,24,23,49,6,4687,399.62587477663453,9.091076997395378,0.6513198972262393,476,1,0.234405744408259,24.598472827344715,99.89423541142303,0.3458795153416516,113.95115075027338,6911,0
287,18,8,5459,107,62,9758,36097,2104,35,53,374,2,5453,442.6082667876534,1.0598260236299788,0.2024621836388314,913,5,0.5325148697565201,76.82644217998283,67.42528999157955,6.407239409846124,94.88842097596184,8442,0
288,15,2,9923,153,796,7121,14809,3532,22,28,211,7,6957,147.03789322663212,6.103456789763624,0.8901151363098093,248,7,0.11424845325805633,1.3629958798618478,91.6498871119709,3.9156761372080973,163.85896508027963,1895,1
289,2,11,12405,377,322,2200,33191,3699,27,5,346,3,1766,87.71187159277736,4.569809797282497,0.8590463297066561,659,2,0.5492750081282486,21.802932590839955,84.88174114163321,16.261024142866162,56.26409924518458,6639,0
290,10,7,2054,444,290,3854,32267,2861,19,60,44,9,4611,267.30249646936943,9.390835302421543,0.07672737192820589,775,9,0.0013336394907920157,6.607210143222504,84.56932226075094,16.89611334072001,177.80343441672142,8640,0
291,2,13,10293,134,735,8024,18206,2173,45,35,209,5,6272,281.3363130286729,1.312939511117229,0.10638840541407735,526,6,0.32384963074584483,78.04466897012767,66.29177974224994,5.172375426209523,116.59925971967371,6314,0
292,17,2,9856,176,40,7972,32057,3847,12,29,31,8,1484,423.13180097746294,2.1990757199720665,0.4951715922466663,893,2,0.21993431383058126,75.61182770272087,89.28008962115112,6.512895538997854,125.74322708213506,8688,0
293,8,15,5547,95,346,1136,39992,3920,20,9,438,6,4503,249.70261067705107,0.39246548925378344,0.6092226627693547,185,8,0.971218789960782,81.38223877780288,95.01880111737995,4.724939354302293,176.26120319209915,6245,1
294,1,14,5751,85,192,2029,26995,4411,1,44,92,8,4054,306.88386149494073,4.3959589713506,0.27490833748224075,894,8,0.727242319569979,0.5477211632203306,60.92742307602815,18.16765094742528,165.34071069137383,2709,0
295,9,4,10156,353,32,3594,24210,1128,21,60,308,3,6405,287.1819223310563,2.850545705690078,0.7167977166993706,419,1,0.3496533804622377,50.17314939517296,81.2748418558352,10.052986692445645,124.29679307616107,9450,0
296,11,7,13929,433,553,8206,28793,1437,49,6,96,3,8352,67.19125269082598,8.712068745514177,0.5949160209188715,735,1,0.09284508653062051,70.51313613198191,69.60674145513876,13.122740881640398,153.10566373115307,8437,0
297,16,3,15150,303,455,1661,37270,1750,45,36,420,5,7338,326.8467034686113,6.088914050657775,0.3248241097485547,373,1,0.516800594690624,15.624572761027645,99.47740596474385,8.309641733992066,92.3307031442504,2326,0
298,7,2,11386,453,83,3472,16197,3548,1,4,443,3,7081,422.6194785984135,6.179498305959447,0.025371488042315593,32,4,0.2134478813260423,65.0140936785112,73.94164079158408,12.620283870090622,114.00177316495179,8555,0
299,10,11,6540,68,19,1086,18452,4129,10,54,139,8,6126,120.87524663411172,5.365915899124894,0.7501502812985177,327,4,0.5364295458983578,8.502598921037603,61.41600868984713,7.717107534434722,21.793325974617115,6030,0
300,3,10,15478,147,493,7219,25859,2221,47,8,34,8,6709,317.4492802669681,1.0093183385690898,0.2147536658250827,534,8,0.8353623541788925,18.214453024820887,69.09288126109163,6.793568754584509,27.0730044200089,6942,0
301,18,7,7541,108,465,9143,38236,3258,32,16,470,2,8764,317.1247450008865,4.505684968881017,0.8344737434626284,914,1,0.6157925521013854,47.632101817960645,82.69191949083131,12.689601463469604,167.59082679540307,3180,0
302,13,1,1556,201,575,7968,42899,4985,39,22,117,4,1058,123.88323382536143,9.995101378114313,0.4202902600542552,762,3,0.6337884195450022,65.39115875284209,53.804468567478814,11.821241560979786,21.337614579674366,1087,0
303,7,14,7125,252,573,3773,43083,1901,22,15,407,1,8824,105.55860817883121,8.368769979375546,0.5770774426317654,285,1,0.5410302890628115,14.67232578269422,80.18009601106188,5.870559083358993,42.18583387019538,9639,0
304,4,15,9691,328,669,2700,13172,3092,18,51,92,4,593,491.0233743394182,8.945244636254447,0.8729487304090019,613,9,0.9272656326314092,18.603810750010698,96.5612379589449,2.9869690063894683,161.2082052005839,1460,0
305,13,8,12424,58,169,3700,27663,4168,48,28,244,4,7142,227.17362634386689,8.249940956540344,0.8636230009199534,629,9,0.9319026844206033,20.524192069859737,92.51813938289251,7.3715338767627525,10.217730619368695,7150,0
306,1,3,3353,457,891,7815,38540,2302,46,60,465,9,181,152.33977792558818,1.1201127649667286,0.37151957524357326,962,7,0.5127232010735522,23.946210389427954,53.38367683289917,8.303952782838184,63.65682248071422,7646,0
307,8,12,4872,41,23,2647,30053,3582,32,54,312,3,7099,127.09604500446872,2.3517377152415166,0.20888889271484312,238,8,0.3057594871435044,22.732729467776498,99.66949393695342,12.573686668492098,120.96734498705814,1826,0
308,14,12,14350,400,187,7038,22085,2433,27,38,218,2,3070,350.4207711124558,0.13090434842845533,0.7751460777285947,673,1,0.4595870058794439,39.575395938913914,84.93634618519395,18.290575272737275,123.13548697916636,1007,0
309,16,13,265,286,421,6164,41564,3508,28,15,487,9,111,324.25038379727545,3.1047502362933037,0.4330802036021312,117,5,0.18655791219561568,65.41358611858861,58.114041215701185,0.7236959506585028,157.65905256359997,9475,0
310,14,2,13527,29,887,6520,35209,1390,18,33,469,9,7924,339.5984553443379,1.1752132832302766,0.1920419935590041,810,2,0.6363443153180893,43.859375135133526,50.62080445847118,4.873220250836898,106.12598835351238,2924,0
311,12,3,10873,163,62,4687,14981,4918,39,8,76,1,861,89.60271238015352,4.780654118485671,0.9044253423171502,925,1,0.5000923357822332,77.61979348411383,58.56413181460756,3.874318845591207,106.78635521088437,9550,0
312,19,5,6008,392,417,1596,32153,2067,49,37,41,6,3285,452.09056257429665,6.803562136881629,0.19810419424108738,965,3,0.10330047781327989,71.95492374426662,91.90879603428692,10.045888173875673,147.80900935273309,8125,0
313,15,11,10108,77,856,5545,16247,1026,29,25,86,8,125,225.16987856407172,8.757602420876962,0.025807168191231078,185,7,0.19764778111961534,12.74003871350266,51.08196624725819,8.594016140863197,104.73864802059387,8490,0
314,2,8,15273,375,31,9676,21553,3841,18,42,118,3,1906,191.01623289366108,7.517249934399892,0.020279973767419968,329,1,0.4796319561995268,4.979278169742319,61.65736518090433,14.580752476403768,125.6133064470872,9348,0
315,2,10,11079,381,39,9837,31811,4168,44,16,482,9,6751,258.06265126148264,9.391997398207202,0.6223153564542643,295,2,0.8875889907188583,87.80636224356064,87.86527976674377,4.848318250897277,180.5770729684597,2555,0
316,19,7,6551,223,712,5757,40845,4022,8,60,341,2,5764,225.52972958643272,0.633593074898509,0.6616750607175304,885,2,0.5663907206310974,8.075123549631055,79.30552679490675,11.889967314995172,86.27569144635068,5308,0
317,17,7,5071,152,269,5384,17135,1547,31,50,378,6,5254,438.6096514126156,0.22058037062376026,0.3110417050569839,338,4,0.6815350002084708,14.919084153899338,89.13678551800959,17.677145271999187,83.17376347465222,7874,0
318,10,12,1328,385,214,9912,16573,3668,34,57,172,1,5924,468.16743883905144,6.647247326978505,0.3200109892470634,886,3,0.3390285497439097,2.3111142282559944,87.3075251913394,18.213554798366093,10.67430845430655,3465,0
319,6,7,3481,241,68,5733,24731,1566,7,6,378,7,3759,186.5539474023228,2.964588861200238,0.33949391505994275,762,3,0.5714113930442343,62.870802893335515,52.53006935609024,19.175692094500622,126.55098968903407,9552,0
320,15,15,13402,222,480,8081,18189,1703,36,63,374,3,1625,438.77111335697964,2.609660059447154,0.6801585467588787,666,5,0.4473798226380674,58.278819259519025,94.62557095470757,15.46522304159977,15.656662407355077,5379,0
321,11,8,1572,88,785,9690,25541,2242,18,56,209,7,860,401.68540828988023,3.3757821681685636,0.058133791026828585,365,3,0.6591299126231607,98.69167627688203,61.35159171411343,18.1197581251783,105.78821304838009,6051,0
322,5,1,5955,223,475,8117,22087,1184,38,23,290,4,694,468.8634525551428,2.7709809731344053,0.9291163526913256,23,7,0.05057556607901037,88.70454639208549,77.66962201148819,4.690617439705484,162.80441991612307,9605,0
323,1,4,12593,125,21,5729,13776,4140,9,34,339,9,7292,160.58764048364952,5.163220422385714,0.22252104417744645,284,5,0.49330021623895914,41.14323343034288,82.21440782638894,3.9516188870095403,114.48500339873598,6797,1
324,8,13,7063,101,640,2673,38564,4900,9,8,201,5,1155,309.6316175544406,4.457469627518911,0.9996732052420922,80,4,0.29599262514396696,37.22142550716225,58.43141054425477,0.1297616756105291,61.23087139116844,8869,0
325,12,6,6930,279,936,9306,39835,4201,46,27,341,3,3183,173.54506313320007,5.173042658628898,0.17152269378718699,836,3,0.32618506127790925,29.755518224570512,98.81156283504872,14.136887148581966,159.37200007538056,6776,0
326,12,9,3939,420,983,8178,18697,2590,8,43,128,8,3775,420.8425207179684,6.759864753854318,0.7715464573123775,204,4,0.9609174315580614,15.325451311784349,74.40779780436546,18.74934375627489,61.24623077568238,1120,0
327,5,13,7483,390,299,3294,25629,2913,35,57,328,6,9750,52.39588575697891,3.9325920388143687,0.22341254492962503,874,2,0.18269481271138277,13.894557294540705,52.88213477986967,3.7387069008335283,149.27603837972075,3944,0
328,7,2,15782,498,859,4630,19386,4680,18,36,180,2,6057,304.1686232988783,2.5879461027073525,0.08084680164325397,821,1,0.3112452525785969,13.315142430159582,96.86310223889203,12.738871508537578,125.94910648614393,3673,0
329,4,1,3529,177,769,1146,28046,1847,5,11,76,3,5355,202.6415440723631,1.7453853144065803,0.8749333243506489,937,3,0.5098925757308718,11.500064242959176,79.31339215966341,14.929195184435551,42.29929638212023,5542,0
330,6,13,7256,67,363,4453,19044,1598,14,27,107,8,9511,195.20766818501912,3.559793783372993,0.8587512591908919,888,2,0.8630269481496237,24.127153036313143,84.95965989906881,18.55228470296113,181.9754362203953,8014,0
331,13,10,401,293,648,5507,20615,1805,28,53,301,7,4328,340.20784573921264,7.443884104937103,0.40357039244960136,532,1,0.41667008320637045,30.736196168280333,76.2587894967112,12.937204480344434,48.12229976186718,6158,0
332,15,12,5266,35,84,6783,16060,4702,30,23,470,6,4281,433.16800219129726,7.591378610103549,0.7023961425404268,115,1,0.743865280888171,96.1617392067877,91.73689773884837,19.405874654975047,198.02154408672726,8051,0
333,3,14,16291,378,882,8751,21900,4791,4,63,472,1,9791,324.13792612699683,6.702363328173682,0.5570659326839171,779,2,0.8563740982148024,57.88947777508839,51.656673109660545,6.893462820250955,11.388992844438746,8902,0
334,8,2,3296,456,725,6628,16581,2357,39,19,168,9,1930,433.92784039102514,2.4168789355380587,0.8529561136737488,995,9,0.31001635582184894,98.76081787387676,63.418918263857385,6.998570675428153,60.061841657151575,8620,0
335,16,7,9910,75,570,9328,45782,4996,20,53,240,3,3495,169.0687003464635,5.922053833961507,0.3150559693186544,902,5,0.39275018353870994,37.30944808778476,73.48241782013461,10.860250200286911,47.97345648209778,646,0
336,13,3,14833,418,600,4360,31173,4225,25,55,142,5,1303,283.7758346442415,5.749827649610795,0.5236723999989852,205,9,0.35655622368835627,45.81690059568516,53.8301808156855,7.670037622318143,12.6587479323879,8630,0
337,18,10,13124,257,450,4005,23997,4618,28,15,208,7,2910,252.7414425801842,4.894235361286282,0.48537237120455046,154,8,0.8328558086179211,32.52540805061139,85.29533346633292,0.028514565750652476,149.14990102798996,3281,0
338,10,2,15278,263,250,4552,18148,3126,12,16,130,7,3192,55.2402047763933,5.544791965200256,0.35390582625685874,986,6,0.04434686195360116,18.370476324565615,69.68317070278204,14.635440501739748,141.7509023989233,9098,0
339,19,14,10032,396,870,1018,29748,3626,2,48,277,3,3144,300.5654644133331,4.968727262974314,0.8914550645563722,741,1,0.30842108882868,14.40215430698016,63.6333995134072,15.034340829569668,160.5466832274368,9325,0
340,17,11,738,465,163,3242,25022,2878,43,45,33,4,6171,347.6859458657787,5.698018024133671,0.16587792466253548,359,5,0.6794085575951299,94.51341186100241,50.168942340420614,14.93949209373541,58.772723828267395,4087,0
341,19,7,3435,53,795,7318,31013,3460,14,42,25,7,7372,316.36148198858155,7.183508950749174,0.14950863952069615,433,1,0.5654434995653427,98.6823871116957,85.99151558749769,6.900413332209332,94.42368174576428,3433,0
342,5,13,1505,106,105,6097,49687,1545,22,28,107,8,4773,381.3259544525397,1.1853191245940535,0.5769095353227514,480,7,0.4362893592936943,4.5864587012222815,91.69046544364309,10.445789466223438,135.23156910809402,2840,0
343,9,13,13216,51,735,9640,26886,2632,31,49,154,2,3614,307.1027878038847,7.521294946275335,0.657494229984942,695,8,0.5399482272213844,15.119552885703477,69.75202678407493,7.199470363533389,93.55601573874728,5001,0
344,12,2,886,236,303,2948,36256,3216,23,35,496,9,6292,80.03761468284061,1.4452728862631827,0.19461925432456517,225,8,0.19758458582831828,42.410056820872164,78.21089885166828,0.3207280006129154,142.49189636040398,9988,1
345,1,3,15252,271,218,6618,41005,3728,48,27,464,7,244,102.40048583812015,0.7596171842627095,0.3907174422546241,102,7,0.4307166216080104,18.714714286806295,61.38433129647992,11.248978825428376,130.454947603684,5808,0
346,1,11,9109,176,352,5236,17638,4734,20,51,348,8,7607,318.4135598947786,9.76318889359253,0.9465638429787437,269,2,0.5017029841763491,36.45165132332564,81.10988231400665,2.475213321680221,31.78308257421353,2182,0
347,15,7,11951,445,97,7901,48419,3630,38,50,372,6,4957,173.74063638813809,9.57421851181737,0.246617422690674,943,5,0.9011891219546017,12.996725350977373,50.60687291576003,1.600826481828812,158.39819300462392,4752,0
348,2,14,3108,288,827,2920,44377,3562,4,47,355,6,1477,85.84030806564462,0.6983217949115841,0.6683607021173941,584,4,0.26083516280397634,45.70552449650685,74.43219485493792,15.109981373935744,146.92850822757848,9977,0
349,16,4,16270,98,785,5188,47634,4385,15,12,464,9,3246,243.32123455184603,4.488209070602125,0.7401493936975908,550,5,0.8678285021649326,27.242292155309006,82.21027409203461,0.1901240483621125,134.608533647307,4686,1
350,8,13,10914,388,946,1238,27755,3079,24,43,67,4,5124,299.44516913764494,1.94382488916777,0.44812869946515954,796,9,0.6442414008259819,35.25531507029022,95.90958866148671,19.180168872174523,39.46778519149044,9895,0
351,13,14,1243,187,399,1204,34382,3334,25,53,210,5,893,197.93569475732295,4.904914481630739,0.937525986759583,868,4,0.020340831067600984,9.521833881128485,69.06679085611421,10.305107282251537,60.91932527111909,360,0
352,1,1,7878,436,334,6552,33394,3641,1,26,481,9,9893,374.19516600160006,8.318754705695914,0.7366567352187905,294,8,0.7246313368993936,42.86999226594316,88.2595101490515,19.660328614122967,84.70363600164409,3896,0
353,16,13,7583,412,949,5927,13253,4114,7,53,504,1,5856,339.6967736455601,9.511056569954613,0.45792457986089785,493,8,0.03555187754905509,98.32743533506083,79.88435149717503,1.1599514494541685,63.18662811472425,6082,0
354,7,14,9994,206,898,5390,48710,2926,31,16,221,4,4514,199.7682624912524,6.37910126917022,0.569335201776094,940,2,0.9973811268138131,32.950421383430914,96.35060564625402,11.670590977318264,53.283955228464976,600,0
355,5,5,9097,316,841,3687,11864,1616,12,63,302,7,1210,389.69263800885227,3.603666105396989,0.6926134434251007,381,6,0.8726366876911978,87.65528455675926,69.91888378297153,6.986540719518224,163.01795733073737,1115,0
356,3,12,9416,276,166,5951,45036,4072,42,62,490,9,5772,341.91276913986593,6.072923099881524,0.5921901804292182,79,5,0.29734374754004567,84.33559424820615,65.9547669936494,16.869649856285715,131.26412680843845,8205,0
357,12,9,11085,277,677,7160,24666,4644,5,35,416,6,4153,336.85042042305594,3.1888129304736585,0.8786975838260759,388,2,0.2574112301967054,95.21063598789134,94.35709993470718,7.2244547046857255,117.43970499454757,7764,0
358,16,8,1356,83,660,6388,31955,3317,44,53,454,8,4037,299.04246535418065,9.107254044237397,0.35688866228040117,288,4,0.3814410821056089,79.03194027548274,52.46222007041445,5.209751581146982,52.931015062118234,4063,0
359,19,12,6908,17,642,6126,48997,2203,42,18,381,9,4063,55.12535063984876,8.716964584747785,0.29988574005580493,752,7,0.35616696531444303,65.9937230231756,56.81926964668384,17.151062541998265,184.43454683104184,5418,0
360,5,15,8888,417,586,1816,27309,2759,38,39,108,4,5042,363.4282325646001,5.6264943277686434,0.2138388894952643,311,1,0.37233781838538105,85.67278597832302,54.12022172920222,7.4930618330652194,46.32477742849009,2806,0
361,14,9,7677,485,628,1192,15054,3565,12,52,435,1,5997,219.2188059991204,3.3155092622655697,0.037782968064595135,264,9,0.3182765461194804,7.656903597669229,92.15549782882013,0.3366663972112294,161.04067723668865,6235,1
362,5,10,5272,306,668,2776,11935,4174,39,8,500,8,9074,474.174369571395,3.004557788271486,0.043013964380055336,693,1,0.6211334068483314,46.3367826541609,50.53037116851597,7.805782016786676,193.66780667400567,5881,0
363,15,14,1025,173,146,4645,33778,4081,18,25,425,2,1216,418.0931469847424,0.43083814758008865,0.8700551931092828,953,5,0.16426366372062395,98.92669823764437,93.08285777485241,13.090445380218839,148.14761855260485,2199,0
